Продукт,"Жиры, г","Белки, г","Углеводы, г","Калорийность, Ккал"
Арахис,"45,2","26,3","9,9","552,0"
Арахис жареный,"52,0","26,0","13,4","626,0"
Горох отварной,"0,8","10,5","20,4","130,0"
Горошек зеленый,"0,2","5,0","8,3","55,0"
"Горошек зеленый, консервы","0,2","3,1","6,5","40,0"
Горчица,"30,8","25,8","23,4","474,0"
Грецкий орех,"60,8","16,2","11,1","656,0"
Каштаны,"2,0","2,0","46,0","213,0"
Кедровые орехи,"68,0","14,0","13,0","673,0"
Кешью,"48,5","18,5","22,5","600,0"
Кунжут,"48,7","19,4","12,2","565,0"
Лещина,"62,6","13,0","9,3","653,0"
Мак,"47,5","17,5","14,5","556,0"
Миндаль,"53,7","18,6","13,0","609,0"
Миндаль жареный,"55,9","22,4","12,3","642,0"
Мука соевая полуобезжиренная,"9,5","43,0","19,1","334,0"
Оливки (мякоть),"23,7","1,6","19,0","296,0"
"Оливки, консервы","16,3","1,8","5,2","175,0"
Подсолнечник,"52,9","20,7","10,5","601,0"
Рапс (низкоэруковый),"43,6","30,8","7,2","544,0"
Семечки подсолнечника,"51,0","21,0","20,0","584,0"
Сладкий попкорн,"13,0","4,0","79,0","431,0"
Соленый попкорн,"30,0","9,0","56,0","527,0"
"Соя, зерно","17,3","34,9","17,3","364,0"
Суп с бобовыми (фасоль),"1,3","3,0","6,9","54,0"
Тыквенные семечки,"42,0","33,0","12,0","500,0"
Фасоль (стручок),"0,3","2,5","3,0","23,0"
"Фасоль, зерно","2,0","21,0","47,0","298,0"
Фисташки,"44,0","21,0","28,0","557,0"
Фундук,"61,5","15,0","9,4","651,0"
Фундук жареный,"66,1","17,8","9,4","703,0"
"Чечевица, зерно","1,5","24,0","46,3","295,0"
Майонез «Провансаль»,"67,0","2,8","3,7","629,0"
Майонез столовый молочный,"67,0","2,4","3,9","627,0"
Маргарин низкокалорийный 60% жирности,"60,0","0,5","0,7","545,0"
Маргарин «Здоровье»,"82,0","0,5","0,7","743,0"
Маргарин «Экстра»,"82,0","0,5","1,0","744,0"
Маргарин молочный столовый,"82,0","0,3","1,0","743,0"
Маргарин сливочный,"82,0","0,3","1,0","743,0"
Масло сладко-сливочное «Бутербродное»,"61,5","1,3","1,7","566,0"
Масло сладко-сливочное «Вологодское»,"82,5","0,5","0,8","748,0"
Масло сладко-сливочное несоленое,"82,5","0,5","0,8","748,0"
Шпик свиной,"92,8","1,4","0,0","841,0"
Шпик свиной соленый,"90,0","1,4","0,0","816,0"
Баранки простые из муки 1 сорта,"1,3","10,4","64,2","311,0"
Батон нарезной из муки высшего сорта,"2,9","7,5","51,4","262,0"
Батон нарезной из муки 1 сорта,"3,0","7,7","50,1","259,0"
Батон простой из муки 1 сорта,"1,0","8,0","49,1","238,0"
Биточки перловые с творогом,"6,4","7,9","18,9","166,0"
Биточки пшенные,"5,9","6,9","22,2","170,0"
Блины из муки 1 сорта,"3,1","5,1","32,6","189,0"
Бублики простые из муки 1 сорта,"1,1","9,1","57,1","276,0"
Булка ярославская из муки 1 сорта,"5,3","7,6","53,7","294,0"
Булки городские из муки высшего сорта,"2,4","7,7","52,9","265,0"
Булочки молочные из муки высшего сорта,"2,2","8,8","50,3","257,0"
Булочки сдобные из муки высшего сорта,"9,4","7,9","55,5","339,0"
Вареники из муки 1 сорта,"6,4","12,0","16,2","172,0"
Ватрушка из муки высшего сорта,"6,4","11,9","37,5","256,0"
Галеты из муки 1 сорта,"1,4","11,0","69,5","345,0"
Галеты из муки высшего сорта,"10,2","9,7","65,6","393,0"
Галушки из муки 1 сорта,"1,0","3,9","20,3","106,0"
Жареный рис,"5,5","4,2","21,0","151,0"
