Город,Численность населения,Страна
Асмун,"91,40",Египет
Винер-Нойштадт,"39,94",Австрия
Люлебургаз,"100,79",Турция
Фёклабрук,"11,95",Австрия
Адыяман,"194,87",Турция
Зейтун,"11,43",Мальта
Дерри,"83,65",Северная Ирландия
Анкара,"3945,63",Турция
Тунис,"728,45",Тунис
Эль-Хавамедия,"116,70",Египет
Старый Оскол,"222,00",Россия
Тилт,"19,27",Бельгия
Рубцовск,"155,00",Россия
Красноярск,"972,00",Россия
Кортрейк,"35,85",Бельгия
Шарм-эш-Шейх,"53,66",Египет
Сморгонь,"36,20",Белоруссия
Тюэн,"32,41",Бельгия
Бильбейс,"145,23",Египет
Дисна,"2,00",Белоруссия
Хихон,"273,93",Испания
Алст,"77,36",Бельгия
Климовичи,"17,00",Белоруссия
Джиджелли,"148,90",Алжир
Бангор,"21,74",Уэльс
Кассерин,"76,24",Тунис
Каяпынар,"204,35",Турция
Эль-Канатер-эль-Хира,"70,97",Египет
Трабзон,"211,03",Турция
Тюэн,"6,70",Бельгия
Плимут,"250,70",Англия
Рыбинск,"207,00",Россия
Сохаг,"197,82",Египет
Саманнуд,"60,62",Египет
Винтертур,"98,24",Швейцария
Антверпен,"24,43",Бельгия
Брюгге,"10,90",Бельгия
Бенха,"163,77",Египет
Вёргль,"11,99",Австрия
Ногинск,"116,00",Россия
Эль-Дахла,"22,26",Египет
Цюрих,"365,13",Швейцария
Фгура,"11,28",Мальта
Заславль,"14,20",Белоруссия
Силопи,"76,536",Турция
Слима,"12,99",Мальта
Ланкастер,"45,95",Англия
Ибшавей,"60,99",Египет
Уфа,"1031,00",Россия
Сергиев Посад,"106,00",Россия
Сенно,"8,00",Белоруссия
Суаньи,"17,85",Бельгия
Стамбул,"10895,26",Турция
Филипвиль,"17,52",Бельгия
Маллави,"148,33",Египет
Мозырь,"108,80",Белоруссия
Холлабрун,"11,20",Австрия
Эль-Курейн,"69,76",Египет
Новолукомль,"13,80",Белоруссия
Исмаилия,"352,41",Египет
Мстиславль,"10,70",Белоруссия
Манавгат,"78,047",Турция
Эс-Синбиллавейн,"92,10",Египет
Миньет-эн-Наср,"99,52",Египет
Брюгге,"19,45",Бельгия
Насир,"91,40",Египет
Курган,"322,00",Россия
Саранск,"296,00",Россия
Намюр,"9,31",Бельгия
Юи,"20,07",Бельгия
Самара,"1134,00",Россия
Османие,"197,75",Турция
Мехелен,"33,27",Бельгия
Берн,"122,93",Швейцария
Новочебоксарск,"127,00",Россия
Афьон,"166,45",Турция
Хасселт,"41,07",Бельгия
Эль-Кузиях,"75,17",Египет
Эль-Бадрашейн,"67,69",Египет
Басьюн,"54,59",Египет
Картахена,"203,95",Испания
Данди,"141,93",Шотландия
Абу-Кебир,"109,45",Египет
